"M","valence","par","item","study","TSlength","scale","MpD","pop","retro","TSlength_c","MpD_c"
1,1,13,2,1,207,1,6,0,0,106.14371257485,0.185714285714286
1,1,13,3,1,207,1,6,0,0,106.14371257485,0.185714285714286
1,1,13,4,1,207,1,6,0,0,106.14371257485,0.185714285714286
1,0,13,5,1,207,1,6,0,0,106.14371257485,0.185714285714286
1,0,13,6,1,207,1,6,0,0,106.14371257485,0.185714285714286
1,0,13,7,1,207,1,6,0,0,106.14371257485,0.185714285714286
1,0,13,8,1,207,1,6,0,0,106.14371257485,0.185714285714286
1,1,14,1,1,105,1,6,0,0,4.1437125748503,0.185714285714286
0,1,14,2,1,105,1,6,0,0,4.1437125748503,0.185714285714286
0,1,14,3,1,105,1,6,0,0,4.1437125748503,0.185714285714286
0,1,14,4,1,105,1,6,0,0,4.1437125748503,0.185714285714286
0,0,14,5,1,105,1,6,0,0,4.1437125748503,0.185714285714286
1,0,14,6,1,105,1,6,0,0,4.1437125748503,0.185714285714286
0,0,14,7,1,105,1,6,0,0,4.1437125748503,0.185714285714286
0,0,14,8,1,105,1,6,0,0,4.1437125748503,0.185714285714286
0,1,15,1,1,193,1,6,0,0,92.1437125748503,0.185714285714286
0,1,15,2,1,193,1,6,0,0,92.1437125748503,0.185714285714286
0,1,15,3,1,193,1,6,0,0,92.1437125748503,0.185714285714286
0,1,15,4,1,193,1,6,0,0,92.1437125748503,0.185714285714286
0,0,15,5,1,193,1,6,0,0,92.1437125748503,0.185714285714286
0,0,15,6,1,193,1,6,0,0,92.1437125748503,0.185714285714286
0,0,15,7,1,193,1,6,0,0,92.1437125748503,0.185714285714286
1,0,15,8,1,193,1,6,0,0,92.1437125748503,0.185714285714286
1,1,16,1,1,187,1,6,0,0,86.1437125748503,0.185714285714286
1,1,16,2,1,187,1,6,0,0,86.1437125748503,0.185714285714286
1,1,16,3,1,187,1,6,0,0,86.1437125748503,0.185714285714286
1,1,16,4,1,187,1,6,0,0,86.1437125748503,0.185714285714286
1,0,16,5,1,187,1,6,0,0,86.1437125748503,0.185714285714286
1,0,16,6,1,187,1,6,0,0,86.1437125748503,0.185714285714286
1,0,16,7,1,187,1,6,0,0,86.1437125748503,0.185714285714286
1,0,16,8,1,187,1,6,0,0,86.1437125748503,0.185714285714286
0,1,17,1,1,139,1,6,0,0,38.1437125748503,0.185714285714286
1,1,17,2,1,139,1,6,0,0,38.1437125748503,0.185714285714286
0,1,17,3,1,139,1,6,0,0,38.1437125748503,0.185714285714286
0,1,17,4,1,139,1,6,0,0,38.1437125748503,0.185714285714286
0,0,17,5,1,139,1,6,0,0,38.1437125748503,0.185714285714286
0,0,17,6,1,139,1,6,0,0,38.1437125748503,0.185714285714286
0,0,17,7,1,139,1,6,0,0,38.1437125748503,0.185714285714286
0,0,17,8,1,139,1,6,0,0,38.1437125748503,0.185714285714286
1,1,18,1,1,165,1,6,0,0,64.1437125748503,0.185714285714286
1,1,18,2,1,165,1,6,0,0,64.1437125748503,0.185714285714286
1,1,18,3,1,165,1,6,0,0,64.1437125748503,0.185714285714286
1,1,18,4,1,165,1,6,0,0,64.1437125748503,0.185714285714286
1,0,18,5,1,165,1,6,0,0,64.1437125748503,0.185714285714286
1,0,18,6,1,165,1,6,0,0,64.1437125748503,0.185714285714286
1,0,18,7,1,165,1,6,0,0,64.1437125748503,0.185714285714286
1,0,18,8,1,165,1,6,0,0,64.1437125748503,0.185714285714286
0,1,19,1,1,183,1,6,0,0,82.1437125748503,0.185714285714286
0,1,19,2,1,183,1,6,0,0,82.1437125748503,0.185714285714286
0,1,19,3,1,183,1,6,0,0,82.1437125748503,0.185714285714286
0,1,19,4,1,183,1,6,0,0,82.1437125748503,0.185714285714286
0,0,19,5,1,183,1,6,0,0,82.1437125748503,0.185714285714286
0,0,19,6,1,183,1,6,0,0,82.1437125748503,0.185714285714286
0,0,19,7,1,183,1,6,0,0,82.1437125748503,0.185714285714286
0,0,19,8,1,183,1,6,0,0,82.1437125748503,0.185714285714286
0,1,20,1,1,178,1,6,0,0,77.1437125748503,0.185714285714286
0,1,20,2,1,178,1,6,0,0,77.1437125748503,0.185714285714286
0,1,20,3,1,178,1,6,0,0,77.1437125748503,0.185714285714286
0,1,20,4,1,178,1,6,0,0,77.1437125748503,0.185714285714286
0,0,20,5,1,178,1,6,0,0,77.1437125748503,0.185714285714286
1,0,20,6,1,178,1,6,0,0,77.1437125748503,0.185714285714286
0,0,20,7,1,178,1,6,0,0,77.1437125748503,0.185714285714286
0,0,20,8,1,178,1,6,0,0,77.1437125748503,0.185714285714286
1,1,21,1,1,186,1,6,0,0,85.1437125748503,0.185714285714286
1,1,21,2,1,186,1,6,0,0,85.1437125748503,0.185714285714286
1,1,21,3,1,186,1,6,0,0,85.1437125748503,0.185714285714286
1,1,21,4,1,186,1,6,0,0,85.1437125748503,0.185714285714286
0,0,21,5,1,186,1,6,0,0,85.1437125748503,0.185714285714286
0,0,21,6,1,186,1,6,0,0,85.1437125748503,0.185714285714286
1,0,21,7,1,186,1,6,0,0,85.1437125748503,0.185714285714286
1,0,21,8,1,186,1,6,0,0,85.1437125748503,0.185714285714286
